simple_number,unique_contrast_count,contrasts_in_NMA,record_id,aggregated,wwc_rating,measure_type,intervention_content,unique_study_count,...10,sort to match WWC data export,sortcode,TO1_NNMA,full_citation,contrast_name,subtract duplicated comparison samples,Abbreviated Citation,Abbreviated Citation for NNMA Paper,publication_year,OLD Abbreviated Citation,...21,study_design,contrast_id,OLD DONT USE,...25,New disaggregate,simplified contrast name (intervention),simplified contrast name (comparison),Link to MRG,contrast_primacy,measure_type_details,measure_intention,grade_level_key...33,...34,...35,...36,measure_name,domain,13domains_granularWWC,domain_numeric,intervention_n,comparison_n,full_sample_size,es_id,effect_size,standard_error,variance,contrast_name...48,subtract duplicated comparison samples from multicontrast studies to calculate overall sample size,TvsT,FULL WP,PART WP,FRACTIONS,WHOLE NUMBERS,NL_TX,N_TX,SEO_TX,...58,TES_TX,ES_TX,TV_TX,VF_TX,SV_TX,F_TX,FA_TX,FG_TX,FGA_TX,FAO_TX,FGO_TX,PRB_TX,PRM_TX,BX_TX,FB_TX,FC_TX,FBO_TX,FCO_TX,FBC_TX,FI_TX,FE_TX,FWOF_TX,FF_TX,FIO_TX,FEO_TX,FIE_TX,RS_TX,RV_TX,R2D_TX,R3D_TX,GS_TX,MS_TX,NL_COMP,N_COMP,SEO_COMP,TES_COMP,ES_COMP,TV_COMP,VF_COMP,SV_COMP,F_COMP,FA_COMP,FG_COMP,FGA_COMP,FAO_COMP,FGO_COMP,PRB_COMP,PRM_COMP,BX_COMP,FB_COMP,FC_COMP,FBO_COMP,FCO_COMP,FBC_COMP,FI_COMP,FE_COMP,FWOF_COMP,FF_COMP,FIO_COMP,FEO_COMP,FIE_COMP,RS_COMP,RV_COMP,R2D_COMP,R3D_COMP,GS_COMP,MS_COMP,intervention_prelim,comparison_prelim,Included in NMAs when n=1 were excluded,Included in NMAs when n=1 were INcluded,intervention_lowdose,comparison_lowdose,intervention_hi_or_lo,comparison_hi_or_lo,intervention_combo,comparison_combo,classrooms,schools,geographic_loc,TvsTwithICcodes,TvsTwithoutICcodes,control_nature,active_passive,control_nature_numeric,comparison_desc,control_group_relevance,dosage_minutes_per-session,dosage_weekly_freq,dosage_weeks,dosage_overall_minutes,dosage_overall_minutes_midpoint,dosage_overall_hours,group_size,group_size_average,group_size_category,grade_level,grade_level_key...156,Technology,setting,measure_class,measure_developer,measure_developer_numeric,interventionist_desc,interventionist,interventionist_numeric,initial_training,initial_training_duration,initial_training_format,ongoing_training,ongoing_training_with NR,ongoing_training_duration,ongoing_training_format,SPED or MD? (SK)NO!,research_lab,Checked,...175,...176,...177,...178,group1_id,group2_id,NL.FF.RS,NL.RS,NL.SE.FF.RS,NL.SE.RS,NL.SE.VF.RS,RS,SE.RS,BAU
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,109,139,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Fraction Battery-Revised: Addition/Subtraction,Rational Numbers,Rational Numbers Computation,3,73,70,143,97,1.941,0.20179172835435977,0.04115735491221108,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,111,140,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Fraction Battery-Revised: Fraction Magnitude Comparisons,Rational Numbers,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,3,73,70,143,98,1.343,0.1841910402644473,0.03429080945766562,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,NA,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,113,141,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Fraction Battery-Revised: Fraction Magnitude Explanations,Rational Numbers,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,3,73,70,143,99,1.164,0.17992762481873442,0.03272174302409919,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,115,142,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Fraction Number Line,Rational Numbers,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,3,73,70,143,100,0.622,0.17036803595473193,0.029337085681441846,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,None,,independent,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,117,143,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Multiplicative Word Problems from the 2012 Fraction Battery,Rational Numbers,Rational Numbers Word Problems/Problem Solving,3,73,70,143,101,-0.122,0.16654847116278465,0.028036386380742545,NA,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,Unique,1,MI20758,IN,MWOR,Main,R,NA,NA,119,144,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,86186,Unique,NA,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,National Assessment of Educational Progress (NAEP) selected items,Rational Numbers,Rational Numbers Knowledge,3,73,70,143,102,0.566,0.1696912629241081,0.029104470296826463,Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Control,NA,0,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NL+SE+FF+RS,BAU,X,X,TV,BAU,NL+TES+FF+RS+TV,BAU,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,BAU,52,14,NA,NA,NA,Control,Passive,0,Business as usual core mathematics instruction and any school provided intervention,,,,,,,21,,2,,4,,None,,researcher compiled,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,0,0,1,0,0,0,0,-1
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,125,155,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,87223,NA,NA,NO,NA,NA,NA,Secondary,NA,T2 (WP),,NA,NA,NA,Multiplicative Word Problems from the 2012 Fraction Battery,Rational Numbers,Rational Numbers Word Problems/Problem Solving,3,69,73,142,108,-1.44,0.18738424230128434,0.035492792210878935,Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NL+SE+FF+RS,NL+FF+RS,X,X,TV,SEO+TV,NL+TES+FF+RS+TV,NL+FF+RS+SEO+TV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,52,14,NA,1,NA,Alternate Treatment,Active,1,Fraction Faceoff (Fraction intervention) with instruction in explanations,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,-1,0,1,0,0,0,0,0
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,126,156,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,87223,NA,NA,NO,NA,NA,NA,Secondary,NA,N/A,,NA,NA,NA,National Assessment of Educational Progress (NAEP) selected items,Rational Numbers,Rational Numbers Knowledge,3,69,73,142,103,-0.197,0.16740607349520964,0.028328035168625414,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NL+SE+FF+RS,NL+FF+RS,X,X,TV,SEO+TV,NL+TES+FF+RS+TV,NL+FF+RS+SEO+TV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,52,14,NA,1,NA,Alternate Treatment,Active,1,Fraction Faceoff (Fraction intervention) with instruction in explanations,,,,,,,21,,2,,4,,None,,researcher compiled,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,-1,0,1,0,0,0,0,0
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,121,151,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,87223,NA,NA,NO,NA,NA,NA,Secondary,NA,N/A,,NA,NA,NA,Fraction Battery-Revised: Addition/Subtraction,Rational Numbers,Rational Numbers Computation,3,69,73,142,104,-0.165,0.167285508457331,0.028287246436231046,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NL+SE+FF+RS,NL+FF+RS,X,X,TV,SEO+TV,NL+TES+FF+RS+TV,NL+FF+RS+SEO+TV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,52,14,NA,1,NA,Alternate Treatment,Active,1,Fraction Faceoff (Fraction intervention) with instruction in explanations,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,-1,0,1,0,0,0,0,0
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,124,154,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,87223,NA,NA,NO,NA,NA,NA,Secondary,NA,N/A,,NA,NA,NA,Fraction Number Line,Rational Numbers,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,3,69,73,142,107,-0.117,0.16714451702871894,0.02823958446440006,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NL+SE+FF+RS,NL+FF+RS,X,X,TV,SEO+TV,NL+TES+FF+RS+TV,NL+FF+RS+SEO+TV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,52,14,NA,1,NA,Alternate Treatment,Active,1,Fraction Faceoff (Fraction intervention) with instruction in explanations,,,,,,,21,,2,,4,,None,,independent,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,-1,0,1,0,0,0,0,0
,NA,1,MI20758,IN,MWOR,Main,R,NA,NA,122,152,TO1,"Fuchs, L. S., Malone, A. S., Schumacher, R. F., Namkung, J., Hamlett, C. L., Jordan, N. C., . . . Changas, P. (2016). Supported self-explaining during Fraction intervention. Journal of Educational Psychology, 108(4), 493–508. doi:10.1037/edu0000073",Fraction Faceoff (Fraction intervention) with instruction in explanations vs. Fraction Faceoff (Fraction intervention) with instruction in multiplicative word problems,NA,"Fuchs, Malone et al. (2016)","Fuchs, Malone et al. (2016)",2016,"Fuchs, Malone et al. (2016)",Match,Randomized Control Trial,87223,NA,NA,NO,NA,NA,NA,Secondary,NA,N/A,,NA,NA,NA,Fraction Battery-Revised: Fraction Magnitude Comparisons,Rational Numbers,Rational Numbers Magnitude Understanding/Relative Magnitude Understanding,3,69,73,142,105,0.161,0.1672719311225408,0.028282654886935273,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,,,1,NA,NA,1,NA,1,1,1,1,1,NA,1,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,1,NA,1,1,1,1,NL+SE+FF+RS,NL+FF+RS,X,X,TV,SEO+TV,NL+TES+FF+RS+TV,NL+FF+RS+SEO+TV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,N or NL + TES or SEO + VF or TV + FF or FWOF + RS or RV,52,14,NA,1,NA,Alternate Treatment,Active,1,Fraction Faceoff (Fraction intervention) with instruction in explanations,,,,,,,21,,2,,4,,None,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,3,4,-1,0,1,0,0,0,0,0
