simple_number,unique_contrast_count,contrasts_in_NMA,record_id,aggregated,wwc_rating,measure_type,intervention_content,unique_study_count,...10,sort to match WWC data export,sortcode,TO1_NNMA,full_citation,contrast_name,subtract duplicated comparison samples,Abbreviated Citation,Abbreviated Citation for NNMA Paper,publication_year,OLD Abbreviated Citation,...21,study_design,contrast_id,OLD DONT USE,...25,New disaggregate,simplified contrast name (intervention),simplified contrast name (comparison),Link to MRG,contrast_primacy,measure_type_details,measure_intention,grade_level_key...33,...34,...35,...36,measure_name,domain,13domains_granularWWC,domain_numeric,intervention_n,comparison_n,full_sample_size,es_id,effect_size,standard_error,variance,contrast_name...48,subtract duplicated comparison samples from multicontrast studies to calculate overall sample size,TvsT,FULL WP,PART WP,FRACTIONS,WHOLE NUMBERS,NL_TX,N_TX,SEO_TX,...58,TES_TX,ES_TX,TV_TX,VF_TX,SV_TX,F_TX,FA_TX,FG_TX,FGA_TX,FAO_TX,FGO_TX,PRB_TX,PRM_TX,BX_TX,FB_TX,FC_TX,FBO_TX,FCO_TX,FBC_TX,FI_TX,FE_TX,FWOF_TX,FF_TX,FIO_TX,FEO_TX,FIE_TX,RS_TX,RV_TX,R2D_TX,R3D_TX,GS_TX,MS_TX,NL_COMP,N_COMP,SEO_COMP,TES_COMP,ES_COMP,TV_COMP,VF_COMP,SV_COMP,F_COMP,FA_COMP,FG_COMP,FGA_COMP,FAO_COMP,FGO_COMP,PRB_COMP,PRM_COMP,BX_COMP,FB_COMP,FC_COMP,FBO_COMP,FCO_COMP,FBC_COMP,FI_COMP,FE_COMP,FWOF_COMP,FF_COMP,FIO_COMP,FEO_COMP,FIE_COMP,RS_COMP,RV_COMP,R2D_COMP,R3D_COMP,GS_COMP,MS_COMP,intervention_prelim,comparison_prelim,Included in NMAs when n=1 were excluded,Included in NMAs when n=1 were INcluded,intervention_lowdose,comparison_lowdose,intervention_hi_or_lo,comparison_hi_or_lo,intervention_combo,comparison_combo,classrooms,schools,geographic_loc,TvsTwithICcodes,TvsTwithoutICcodes,control_nature,active_passive,control_nature_numeric,comparison_desc,control_group_relevance,dosage_minutes_per-session,dosage_weekly_freq,dosage_weeks,dosage_overall_minutes,dosage_overall_minutes_midpoint,dosage_overall_hours,group_size,group_size_average,group_size_category,grade_level,grade_level_key...156,Technology,setting,measure_class,measure_developer,measure_developer_numeric,interventionist_desc,interventionist,interventionist_numeric,initial_training,initial_training_duration,initial_training_format,ongoing_training,ongoing_training_with NR,ongoing_training_duration,ongoing_training_format,SPED or MD? (SK)NO!,research_lab,Checked,...175,...176,...177,...178,group1_id,group2_id,FF,FF.RS,NL.FF.RS,NL.RS,RS,VF.FF.RS,VF.RS,BAU,NL.SE.FF.RS,NL.SE.RS,NL.SE.VF.RS,SE.RS
6,Unique,1,MI10012,IN,MWR,Main,W,NA,TRUE,133,163,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Math Flash (within fact retrieval intervention),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,74210,Unique,NA,NO,Math Flash + Magic Math,Math Flash,NA,Secondary,NA,TX,,NA,NA,NA,"Computational Estimation
 SUBTEST",Whole Numbers,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,2,31,32,63,1,0.529,0.2532115796919118,0.06572902483358935,Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Math Flash (within fact retrieval intervention),98,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,1,1,NA,NA,NA,FF+RS,FF,X,X,N,N+RV,FF+RS+N,FF+N+RV,N or NL + FF or FWOF + RS or RV,N or NL + FF or FWOF + RS or RV,80,18,"Nashville, TN & Houston, TX",NA,1,Alternate Treatment,Active,1,Math Flash + Magic Math (within procedural/estimation skill tutoring),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,2,-1,1,0,0,0,0,0,0,NA,NA,NA,NA
7,NA,1,MI10012,IN,MWOR,Main,W,NA,TRUE,139,168,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87216,NA,0,NO,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Story Problems factor score,Whole Numbers,Whole Numbers Word Problems/Problem Solving,2,32,35,67,2,0.206,0.24239022808262817,0.060138115138592754,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,N+RV,BAU,FF+N+RV,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
7,NA,1,MI10012,IN,MWOR,Main,W,NA,TRUE,135,164,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87216,NA,1,NO,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,"Computational Estimation
 SUBTEST",Whole Numbers,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,2,32,35,67,3,0.258,0.24275282750597,0.06031817484008529,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,N+RV,BAU,FF+N+RV,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
7,NA,1,MI10012,IN,MWOR,Main,W,NA,TRUE,136,165,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87216,NA,1,NO,NA,NA,NA,Primary,NA,NA,,NA,NA,NA,Fact Retrieval factor score,Whole Numbers,Whole Numbers Computation,2,32,35,67,4,0.685,0.24872607204426472,0.06332310767590618,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,N+RV,BAU,FF+N+RV,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
7,NA,1,MI10012,IN,MWOR,Main,W,NA,TRUE,137,166,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87216,NA,NA,NO,NA,NA,NA,Primary,NA,NA,,W,GM,NA,Math Concepts factor score (two measures: Place Value Concepts and KeyMath Numeration),General Mathematics Achievement,General Mathematics Achievement,1,32,35,67,5,0,0.2417511736941846,0.059821428571428574,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,N+RV,BAU,FF+N+RV,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
7,Unique,1,MI10012,IN,MWOR,Main,W,NA,TRUE,138,167,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87216,Unique,0,NO,Math Flash,Word Identification Instruction,NA,Primary,NA,NA,,NA,NA,NA,Procedural Computation factor score,Whole Numbers,Whole Numbers Computation,2,32,35,67,6,0.315,0.2432428011489483,0.06056191364605544,Math Flash (within fact retrieval intervention) vs. Irrelevant control (tutoring in word identification skills),NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF,BAU,X,X,N+RV,BAU,FF+N+RV,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,12.375,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,2,3,1,0,0,0,0,0,0,-1,NA,NA,NA,NA
8,NA,1,MI10012,IN,MWR,Main,W,NA,TRUE,140,169,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87217,NA,0,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,"Computational Estimation
 SUBTEST",Whole Numbers,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,2,31,35,66,7,0.821,0.2537588585048673,0.06593586429967882,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N,BAU,FF+RS+N,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,18.75,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
8,NA,1,MI10012,IN,MWR,Main,W,NA,TRUE,141,170,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87217,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Fact Retrieval factor score,Whole Numbers,Whole Numbers Computation,2,31,35,66,8,0.049,0.24377119216598728,0.060847682481497,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N,BAU,FF+RS+N,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,18.75,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
8,NA,1,MI10012,IN,MWR,Main,W,NA,TRUE,142,171,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87217,NA,NA,NO,NA,NA,NA,Secondary,NA,NA,,W,GM,NA,"Math Concepts factor score (two measures: Place Value Concepts and KeyMath Numeration)",General Mathematics Achievement,General Mathematics Achievement,1,31,35,66,9,0.155,0.24409912011350454,0.061011500663315184,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N,BAU,FF+RS+N,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,18.75,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
8,NA,1,MI10012,IN,MWR,Main,W,NA,TRUE,143,172,TO1,"Fuchs, L. S., Powell, S. R., Hamlett, C. L., Fuchs, D., Cirino, P. T., & Fletcher, J. M. (2008). Remediating computational deficits at third grade: A randomized field trial. Journal of Research on Educational Effectiveness, 1(1), 2-32.",Math Flash (within fact retrieval intervention) + Magic Math (within procedural/estimation tutoring) vs. Irrelevant control (tutoring in word identification skills),NA,"Fuchs, Powell et al. (2008)","Fuchs, Powell et al. (2008)",2008,"Fuchs, Powell et al. (2008)",Match,Randomized Control Trial,87217,NA,1,NO,NA,NA,NA,Secondary,NA,NA,,NA,NA,NA,Procedural Computation factor score,Whole Numbers,Whole Numbers Computation,2,31,35,66,10,0.116,0.2439388963111191,0.060931432481497,NA,NA,0,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,1,NA,1,,,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FF+RS,BAU,X,X,N,BAU,FF+RS+N,BAU,N or NL + FF or FWOF + RS or RV,BAU,80,18,"Nashville, TN & Houston, TX",NA,NA,Control,Active,0,Irrelevant control (tutoring in word identification skills),,,,,,,18.75,,1,,3,,Computer,,researcher,researcher developed,1,Tutors (research staff),research staff,1,,,,1,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,1,3,0,1,0,0,0,0,0,-1,NA,NA,NA,NA
