Intervention,FF.RS,NL.FF.RS,NL.RS,NL.TES.FF.RS,NL.TES.RS,NL.TES.VF.RS,RS,TES.VF.RS,VF.FF.RS,VF.RS
FF,-0.07 (-0.34 - 0.2),-0.6 (-0.91 - -0.28),-0.21 (-0.58 - 0.15),-0.38 (-0.73 - -0.03),-0.42 (-0.9 - 0.07),-0.37 (-0.97 - 0.23),0.17 (-0.1 - 0.44),-1.27 (-2.1 - -0.44),-0.45 (-0.9 - 0.01),0.35 (-0.15 - 0.85)
FF.RS,NA,-0.52 (-0.79 - -0.26),-0.14 (-0.46 - 0.18),-0.31 (-0.61 - -0.01),-0.34 (-0.8 - 0.11),-0.3 (-0.88 - 0.28),0.24 (0.04 - 0.45),-1.2 (-2.01 - -0.39),-0.37 (-0.76 - 0.01),0.42 (-0.05 - 0.9)
NL.FF.RS,NA,NA,0.38 (0.05 - 0.72),0.22 (-0.02 - 0.46),0.18 (-0.26 - 0.62),0.23 (-0.36 - 0.81),0.77 (0.53 - 1.01),-0.68 (-1.49 - 0.14),0.15 (-0.27 - 0.58),0.95 (0.47 - 1.43)
NL.RS,NA,NA,NA,-0.17 (-0.53 - 0.2),-0.2 (-0.7 - 0.29),-0.16 (-0.77 - 0.45),0.38 (0.09 - 0.68),-1.06 (-1.9 - -0.22),-0.23 (-0.71 - 0.25),0.56 (0.05 - 1.08)
NL.TES.FF.RS,NA,NA,NA,NA,-0.04 (-0.45 - 0.38),0.01 (-0.59 - 0.61),0.55 (0.27 - 0.83),-0.89 (-1.72 - -0.07),-0.07 (-0.52 - 0.39),0.73 (0.23 - 1.23)
NL.TES.RS,NA,NA,NA,NA,NA,0.04 (-0.65 - 0.73),0.59 (0.15 - 1.02),-0.86 (-1.75 - 0.04),-0.03 (-0.6 - 0.54),0.77 (0.16 - 1.37)
NL.TES.VF.RS,NA,NA,NA,NA,NA,NA,0.54 (-0.02 - 1.11),-0.9 (-1.87 - 0.06),-0.07 (-0.75 - 0.6),0.72 (0.02 - 1.43)
RS,NA,NA,NA,NA,NA,NA,NA,-1.44 (-2.25 - -0.64),-0.62 (-1.03 - -0.2),0.18 (-0.28 - 0.64)
TES.VF.RS,NA,NA,NA,NA,NA,NA,NA,NA,0.83 (-0.06 - 1.71),1.63 (0.72 - 2.53)
VF.FF.RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8 (0.21 - 1.39)
