Intervention,FF.RS.N,FF.RS.N.SEO,FF.RV,NL.RS,RS,RS.N,RS.N.FWOF,RS.N.SEO,RS.N.TV,RS.SEO,RS.TV.FWOF,VF.RS.N.SEO
FF.N.RV,"-0.1 (-0.79 , 0.58)","0.08 (-0.69 , 0.84)","-0.19 (-0.96 , 0.58)","-0.14 (-0.7 , 0.42)","-0.27 (-0.85 , 0.31)","-0.17 (-0.83 , 0.49)","0.01 (-0.59 , 0.61)","-0.26 (-0.77 , 0.25)","-0.91 (-1.74 , -0.09)","-0.03 (-0.77 , 0.7)","-0.5 (-1.2 , 0.19)","-0.12 (-0.68 , 0.45)"
FF.RS.N,NA,"0.18 (-0.67 , 1.04)","-0.08 (-0.94 , 0.78)","-0.04 (-0.72 , 0.64)","-0.16 (-0.86 , 0.53)","-0.06 (-0.83 , 0.7)","0.11 (-0.6 , 0.82)","-0.15 (-0.79 , 0.49)","-0.81 (-1.72 , 0.1)","0.07 (-0.76 , 0.9)","-0.4 (-1.19 , 0.4)","-0.01 (-0.7 , 0.67)"
FF.RS.N.SEO,NA,NA,"-0.26 (-0.96 , 0.43)","-0.22 (-0.86 , 0.42)","-0.35 (-1.01 , 0.32)","-0.25 (-0.98 , 0.49)","-0.07 (-0.75 , 0.61)","-0.33 (-0.93 , 0.26)","-0.99 (-1.88 , -0.11)","-0.11 (-0.91 , 0.69)","-0.58 (-1.35 , 0.18)","-0.2 (-0.84 , 0.45)"
FF.RV,NA,NA,NA,"0.05 (-0.6 , 0.69)","-0.08 (-0.75 , 0.59)","0.02 (-0.72 , 0.76)","0.19 (-0.49 , 0.88)","-0.07 (-0.67 , 0.53)","-0.73 (-1.62 , 0.16)","0.15 (-0.65 , 0.96)","-0.32 (-1.09 , 0.45)","0.07 (-0.58 , 0.72)"
NL.RS,NA,NA,NA,NA,"-0.13 (-0.53 , 0.28)","-0.03 (-0.55 , 0.49)","0.15 (-0.29 , 0.58)","-0.11 (-0.41 , 0.18)","-0.77 (-1.49 , -0.06)","0.11 (-0.5 , 0.72)","-0.36 (-0.92 , 0.2)","0.02 (-0.36 , 0.41)"
RS,NA,NA,NA,NA,NA,"0.1 (-0.44 , 0.64)","0.27 (-0.19 , 0.73)","0.01 (-0.32 , 0.34)","-0.65 (-1.38 , 0.09)","0.23 (-0.39 , 0.86)","-0.24 (-0.82 , 0.35)","0.15 (-0.26 , 0.57)"
RS.N,NA,NA,NA,NA,NA,NA,"0.18 (-0.38 , 0.74)","-0.09 (-0.55 , 0.37)","-0.75 (-1.54 , 0.05)","0.14 (-0.57 , 0.84)","-0.33 (-1 , 0.33)","0.05 (-0.47 , 0.58)"
RS.N.FWOF,NA,NA,NA,NA,NA,NA,NA,"-0.26 (-0.63 , 0.1)","-0.92 (-1.67 , -0.17)","-0.04 (-0.68 , 0.6)","-0.51 (-1.11 , 0.09)","-0.12 (-0.56 , 0.32)"
RS.N.SEO,NA,NA,NA,NA,NA,NA,NA,NA,"-0.66 (-1.34 , 0.02)","0.22 (-0.34 , 0.78)","-0.25 (-0.76 , 0.26)","0.14 (-0.17 , 0.44)"
RS.N.TV,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.88 (0.02 , 1.74)","0.41 (-0.42 , 1.24)","0.8 (0.08 , 1.52)"
RS.SEO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-0.47 (-1.2 , 0.27)","-0.08 (-0.7 , 0.53)"
RS.TV.FWOF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.39 (-0.18 , 0.95)"
